Chart: 18680, Current Edition: 32, Print Date: May. /2013, Point Sur to San Francisco
Chart	Action	Item Name	Charting Label	Latitude	Longitude	LatDD	LongDD	Published Document	Kapp	RNC Panel	RNC Posted
18680	Relocate	Point Pinos Lighted Bell Buoy 2	R "2" Fl R 6s BELL	N 36 38' 50.983"	W 121 56' 38.762"	36.6475	-121.9441	LNM 16/17, 11th Dist	1866	18680_1	4/27/2017
18680	Delete	Scripps Waverider Lighted Research Buoy 156	Y "156" Fl (5) Y 20s Priv	N 36 45' 38.820"	W 121 56' 48.660"	36.76078	-121.9469	LNM 04/17, 11th Dist	1866	18680_1	2/2/2017
18680	Relocate	Santa Cruz Light	Fl 5s Priv	N 36 57' 05.340"	W 122 01' 36.360"	36.95148	-122.0268	LNM 49/16, 11th Dist	1866	18680_1	12/15/2016
18680	Change	Santa Cruz Light	Fl 5s Priv	N 36 57' 05.340"	W 122 01' 36.360"	36.95148	-122.0268	LNM 49/16, 11th Dist	1866	18680_1	12/15/2016
18680	Delete	Terrace Point 1 MBARI Research Buoy	Y "MBARI" Fl Y 4s Priv	N 36 56' 39.000"	W 122 04' 49.000"	36.94417	-122.0803	LNM 33/16, 11th Dist	1866	18680_1	8/25/2016
18680	Relocate	Noonday Rock Lighted Bell Buoy 28	R "28" Fl R 4s BELL	N 37 47' 31.670"	W 123 10' 40.491"	37.79213	-123.1779	LNM 31/16, 11th Dist	1866	18680_1	8/11/2016
18680	Change	Point Bonita Light	Oc 4s 124ft 18M HORN MRASS (see note K) AIS	N 37 48' 56.120"	W 122 31' 46.266"	37.81559	-122.5295	LNM 05/16, 11th Dist	1866	18680_1	2/11/2016
18680	Change	Point Bonita Light	Oc 4s 124ft 18M HORN MRASS (see Note K)	N 37 48' 56.120"	W 122 31' 46.266"	37.81559	-122.5295	LNM 39/15, 11th Dist	1866	18680_1	10/15/2015
18680	Relocate	Point Bonita Light	Oc 4s 124ft 18M HORN	N 37 48' 56.120"	W 122 31' 46.266"	37.81559	-122.5295	LNM 39/15, 11th Dist	1866	18680_1	10/15/2015
18680	Add	NOTE K	MARINER ACTIVATED SOUND SIGNAL (MRASS) Horn is activated by keying the mic 5 times on VHF-FM Ch 81A- horn will operate for thirty minutes. 	N 37 13' 30.000"	W 122 05' 36.000"	37.225	-122.0933	LNM 39/15, 11th Dist	1866	18680_1	10/15/2015
18680	Add	NOAA Environmental Lighted Buoy 46FLO	Y "46FLO" Fl (4) Y 20s	N 36 40' 05.523"	W 122 33' 44.089"	36.6682	-122.5622	LNM 31/15, 11th Dist	1866	18680_1	8/13/2015
